房屋信息链接,房屋地址,户型,房屋面积,朝向,装修,楼层,年份,房屋类型,价格,城市
https://cq.lianjia.com/ershoufang/106119107007.html,芷岸小区    -  璧山 ,4室2厅 ,137, 东 东南 , 毛坯 , 中楼层(共11层) ,2021, 板楼,101,杭州
https://cq.lianjia.com/ershoufang/106116081130.html,珠江花园南区    -  杨家坪 ,3室1厅 ,146, 西南 , 简装 , 16层 ,1998, 板塔结合,100,杭州
https://cq.lianjia.com/ershoufang/106121399020.html,中粮天悦壹号滨水城    -  石马河 ,3室2厅 ,127, 东 , 精装 , 21层  ,暂无数据, 塔楼,133.5,杭州
https://cq.lianjia.com/ershoufang/106119246566.html,新城馨苑    -  南桥寺 ,2室2厅 ,77, 东 南 , 精装 , 高楼层(共26层) ,2007, 塔楼,75,杭州
https://cq.lianjia.com/ershoufang/106117473239.html,鹏润·鹿山台二期    -  中央公园 ,4室2厅 ,122, 南 , 毛坯 , 高楼层(共6层)  ,暂无数据, 板楼,186,杭州
https://cq.lianjia.com/ershoufang/106120309831.html,万科御澜道    -  江北嘴 ,4室2厅 ,145, 西南 , 精装 , 中楼层(共32层) ,2018, 塔楼,252,杭州
https://cq.lianjia.com/ershoufang/106120863763.html,长安华都西区    -  龙头寺 ,3室2厅 ,119, 北 , 精装 , 低楼层(共11层) ,2006, 板塔结合,119,杭州
https://cq.lianjia.com/ershoufang/106119736148.html,恒大世纪城四期南苑    -  照母山 ,3室2厅 ,119, 东南 , 精装 , 高楼层(共32层) ,2022, 塔楼,166.6,杭州
https://cq.lianjia.com/ershoufang/106118198538.html,金科博翠天悦    -  璧山 ,4室2厅 ,140, 南 北 , 毛坯 , 中楼层(共7层)  ,暂无数据, 塔楼,115,杭州
https://cq.lianjia.com/ershoufang/106119592481.html,溯源阁    -  四公里 ,3室2厅 ,122, 西北 , 精装 , 32层 ,2006, 板塔结合,113,杭州
https://cq.lianjia.com/ershoufang/106121336061.html,同心家园A组团    -  二郎 ,3室1厅 ,114, 西南 , 精装 , 32层 ,2010, 塔楼,99,杭州
https://cq.lianjia.com/ershoufang/106115610955.html,万科西九    -  石坪桥 ,2室1厅 ,56, 东南 , 精装 , 34层 ,2017, 板塔结合,78,杭州
https://cq.lianjia.com/ershoufang/106121420520.html,秋实大厦    -  步行街 ,2室1厅 ,82, 东南 , 简装 , 低楼层(共26层) ,2009, 塔楼,62,杭州
https://cq.lianjia.com/ershoufang/106120610389.html,汇祥林里3000二期    -  中央公园东区 ,4室2厅 ,180, 东南 南 , 精装 , 7层  ,暂无数据, 板楼,213,杭州
https://cq.lianjia.com/ershoufang/106117388251.html,渝开发橄榄郡    -  冉家坝 ,2室2厅 ,82, 北 , 毛坯 , 中楼层(共18层) ,2008, 板塔结合,80,杭州
https://cq.lianjia.com/ershoufang/106120100459.html,龙湖天际    -  中央公园 ,2室1厅 ,51, 南 , 毛坯 , 高楼层(共30层) ,2022, 板楼,42,杭州
https://cq.lianjia.com/ershoufang/106120640612.html,世茂璀璨天城星斓    -  汽博中心 ,3室2厅 ,99, 东 , 毛坯 , 低楼层(共32层) ,2021, 塔楼,99,杭州
https://cq.lianjia.com/ershoufang/106113480088.html,华宇天宫花城A组团    -  龙头寺 ,3室1厅 ,99, 北 , 精装 , 低楼层(共12层) ,2014, 塔楼,150,杭州
https://cq.lianjia.com/ershoufang/106113762951.html,彩云印象    -  蟠龙 ,3室2厅 ,105, 南 , 精装 , 33层 ,2008, 塔楼,67,杭州
https://cq.lianjia.com/ershoufang/106112543828.html,金科城幸福里    -  蔡家 ,4室2厅 ,126, 东南 , 毛坯 , 低楼层(共11层) ,2018, 板楼,108,杭州
https://cq.lianjia.com/ershoufang/106121263173.html,金科中央公园城（江津）    -  滨江新城 ,3室2厅 ,94, 南 , 精装 , 中楼层(共8层) ,2015, 板楼,63.5,杭州
https://cq.lianjia.com/ershoufang/106119562763.html,长嘉汇两江峯    -  南滨路 ,5室2厅 ,217, 东 西南 东北 , 精装 , 低楼层(共41层)  ,暂无数据, 塔楼,480,杭州
https://cq.lianjia.com/ershoufang/106114208238.html,绿地新里樱园    -  海尔路 ,3室1厅 ,109, 东南 , 毛坯 , 33层 ,2019, 塔楼,112,杭州
https://cq.lianjia.com/ershoufang/106114980180.html,渝高花园    -  石桥铺 ,3室2厅 ,130, 东南 , 精装 , 高楼层(共9层)  ,暂无数据, 板塔结合,75,杭州
https://cq.lianjia.com/ershoufang/106115024099.html,协信星澜汇三期    -  龙洲湾 ,4室2厅 ,106, 南 , 毛坯 , 中楼层(共8层)  ,暂无数据, 板楼,83,杭州
https://cq.lianjia.com/ershoufang/106116086342.html,珠江城长江府    -  李家沱 ,3室2厅 ,86, 东南 , 毛坯 , 高楼层(共31层)  ,暂无数据, 板塔结合,49.8,杭州
https://cq.lianjia.com/ershoufang/106115861925.html,龙湖云瑶玉陛瑶林二组团    -  中央公园 ,4室2厅 ,129, 南 , 毛坯 , 中楼层(共8层)  ,暂无数据, 板塔结合,200,杭州
https://cq.lianjia.com/ershoufang/106116026852.html,鸥鹏御府    -  璧山 ,4室2厅 ,119, 东南 , 毛坯 , 中楼层(共28层)  ,暂无数据, 塔楼,74,杭州
https://cq.lianjia.com/ershoufang/106117086141.html,华润置地公园九里琅悦A区    -  中央公园 ,4室2厅 ,141, 南 , 毛坯 , 高楼层(共32层)  ,暂无数据, 板塔结合,160,杭州
https://cq.lianjia.com/ershoufang/106120588428.html,首创鸿恩国际生活区    -  大石坝 ,3室1厅 ,119, 南 , 精装 , 高楼层(共33层) ,2012, 塔楼,132,杭州
https://cq.lianjia.com/ershoufang/106108371020.html,和泓江山国际    -  大坪 ,4室2厅 ,126, 东南 , 毛坯 , 38层 ,2017, 塔楼,139,杭州
https://cq.lianjia.com/ershoufang/106120378158.html,金科阳光小镇二期    -  华岩 ,4室1厅 ,125, 南 , 精装 , 7层 ,2014, 板塔结合,121.5,杭州
https://cq.lianjia.com/ershoufang/106119153576.html,金果园小区    -  南桥寺 ,2室1厅 ,53, 南 , 精装 , 高楼层(共7层) ,2004, 板楼,46,杭州
https://cq.lianjia.com/ershoufang/106118795148.html,江山赋阅山道    -  悦来 ,3室2厅 ,102, 南 北 , 毛坯 , 高楼层(共27层)  ,暂无数据, 塔楼,89,杭州
https://cq.lianjia.com/ershoufang/106115807382.html,中粮天悦壹号悦璟    -  石马河 ,2室2厅 ,92, 南 , 毛坯 , 21层 ,2022, 板楼,104,杭州
https://cq.lianjia.com/ershoufang/106121469791.html,云满庭C区    -  南坪 ,2室1厅 ,83, 东南 , 精装 , 31层 ,2008, 板塔结合,83,杭州
https://cq.lianjia.com/ershoufang/106120381600.html,首地江山赋(二手)    -  悦来 ,3室2厅 ,91, 南 , 精装 , 33层 ,2016, 塔楼,89,杭州
https://cq.lianjia.com/ershoufang/106114565572.html,华润二十四城五期    -  谢家湾 ,4室2厅 ,144, 东 , 毛坯 , 低楼层(共42层)  ,暂无数据, 塔楼,256,杭州
https://cq.lianjia.com/ershoufang/106119330744.html,逸静花开香地    -  石桥铺 ,2室2厅 ,68, 北 , 简装 , 低楼层(共30层) ,2012, 塔楼,53,杭州
https://cq.lianjia.com/ershoufang/106120331421.html,状元府第    -  城南新区 ,2室1厅 ,83, 东南 南 , 精装 , 低楼层(共19层) ,2004, 塔楼,55,杭州
https://cq.lianjia.com/ershoufang/106120937140.html,中建瑾和城瑾园    -  西永 ,4室2厅 ,127, 南 北 , 毛坯 , 高楼层(共31层) ,2020, 塔楼,101,杭州
https://cq.lianjia.com/ershoufang/106113423713.html,山水天下    -  茶园新区 ,5室2厅 ,143, 南 , 毛坯 , 6层  ,暂无数据, 板楼,142,杭州
https://cq.lianjia.com/ershoufang/106119933594.html,融景城澜岸    -  北滨路 ,4室2厅 ,144, 南 北 , 毛坯 , 38层 ,2013, 塔楼,192,杭州
https://cq.lianjia.com/ershoufang/106115339741.html,保利观塘香颂    -  七公里 ,4室2厅 ,143, 南 , 毛坯 , 8层  ,暂无数据, 板楼,208,杭州
https://cq.lianjia.com/ershoufang/106115336972.html,新城馨苑    -  南桥寺 ,3室2厅 ,116, 南 , 精装 , 中楼层(共26层) ,2007, 塔楼,113,杭州
https://cq.lianjia.com/ershoufang/106115382535.html,重庆融创文旅城御泱    -  西永 ,3室2厅 ,104, 西北 , 毛坯 , 中楼层(共32层)  ,暂无数据, 塔楼,69,杭州
https://cq.lianjia.com/ershoufang/106119842413.html,嘉陵春和景明99号    -  璧山 ,3室2厅 ,101, 南 , 精装 , 低楼层(共29层)  ,暂无数据, 板塔结合,66.8,杭州
https://cq.lianjia.com/ershoufang/106114208238.html,绿地新里樱园    -  海尔路 ,3室1厅 ,109, 东南 , 毛坯 , 33层 ,2019, 塔楼,112,杭州
