小区名称,均价,在售套数,所在区,所在街道
"
西湖八号公馆
",122515,0,上城,清波
"
南都花园别墅
",119951,1,西湖,文一西路
"
广宇吴山鸣翠苑
",119925,0,上城,清波
"
嘉禾苑
",119791,0,上城,清波
"
蔡官巷公寓
",119254,2,上城,清波
"
闻潮一品公寓
",118707,0,上城,南星
"
丹金桂花园
",118245,0,西湖,文三西路
"
凤起潮鸣府
",117990,9,拱墅,潮鸣
"
西子公寓
",116278,2,拱墅,武林
"
小河东河下
",116185,2,拱墅,桥西
"
上品华庭
",116022,14,上城,南星
"
武林壹号
",114726,4,拱墅,湖墅
"
观湖里
",114647,10,萧山,闻堰
"
绿城九龙仓柳岸晓风
",114055,4,滨江,长河
"
小河东河下58号
",113910,2,拱墅,桥西
"
滨江钱塘印象
",112811,9,上城,南星
"
保亿绿城奥邸国际
",110719,68,萧山,奥体
"
东方润园
",110596,10,上城,钱江新城
"
钱江候潮府
",110008,12,上城,南星
"
马塍路19号
",109567,1,西湖,文三
"
滨江保利翡翠海岸
",109246,33,上城,近江
"
海潮望月城
",108995,10,上城,四季青
"
润和山庄
",108808,1,西湖,之江
"
云桂花园
",108374,0,西湖,文三西路
"
仁滨公寓
",107708,0,上城,南星
"
凤起钱潮
",107631,14,上城,景芳
"
臻奥院
",106360,148,滨江,奥体
"
湘湖壹号
",105567,2,萧山,闻堰
"
金色海岸
",105412,8,上城,南星
"
绿城蓝色钱江
",104777,34,上城,南星
"
绿城西溪云庐
",104429,17,西湖,西溪
"
麒麟山庄
",103580,3,临安,临安
"
融创滨江御潮府
",102930,13,上城,望江
"
万科大都会79号
",102888,13,上城,钱江新城
"
中海钱江湾
",102879,14,上城,钱江新城
"
德信大家运河云庄南区
",102650,4,余杭,万达广场
"
西湖花苑
",102563,2,拱墅,武林
"
小河直街15号
",102372,1,拱墅,和睦
"
郡西别墅
",102012,5,余杭,良渚
"
中海黄龙云起
",101934,9,西湖,翠苑
"
滨江金茂府
",101717,66,滨江,滨江区政府
"
银杏汇
",101551,26,滨江,彩虹城
"
长生路48号
",100592,2,上城,湖滨
"
滨江金地御品
",99708,21,上城,望江
"
曙光路101号
",99436,0,西湖,黄龙
"
世纪西溪
",97935,0,西湖,文三西路
"
江明月朗园
",97584,192,上城,四季青
"
林语别墅
",97475,4,西湖,文一西路
"
晓风印月公寓
",97016,44,滨江,滨江区政府
"
柳浪东苑
",96782,10,上城,清波
"
金隅学府
",96080,30,上城,南星
"
新绿园
",95586,36,上城,南星
"
蕲王路11号
",94136,1,上城,湖滨
"
武林外滩
",93346,11,拱墅,朝晖
"
钱江御府
",93018,30,上城,南星
"
索菲特世外桃源
",92971,2,萧山,闻堰
"
望江府
",92751,35,上城,南星
"
滨江西溪明珠
",92715,11,西湖,西溪
"
钱江水晶澜轩
",92211,18,滨江,彩虹城
"
元华公寓
",92105,1,上城,湖滨
"
时代滨江丹枫四季
",92059,10,滨江,滨江区政府
"
融信远洋厘望轩
",91807,13,拱墅,信义坊
"
滨江华家池
",91590,36,上城,华家池
"
西湖定安名都
",91470,10,上城,清波
"
如意里
",90748,1,拱墅,桥西
"
万象城悦府
",90659,44,上城,钱江新城
"
水岸枫庭
",90483,18,上城,南星
"
滨江锦绣之城
",90430,38,拱墅,和睦
"
澄之华庭南区
",90255,38,萧山,钱江世纪城
"
首开杭州金茂府
",90125,52,拱墅,和睦
"
绿城留香园
",89888,73,上城,钱江新城
"
滨江城市之星
",88078,41,上城,钱江新城
"
高士坊巷
",87617,0,上城,鼓楼
"
清波苑
",87395,2,上城,清波
"
绿城桃源小镇观翠苑
",87046,10,余杭,小和山
"
观翠揽月轩
",87044,54,上城,七堡
"
平海路小区
",86539,1,上城,湖滨
"
溪上玫瑰园
",86387,16,余杭,翡翠城
"
洽丰里
",85600,1,上城,湖滨
"
敬胜里
",85437,3,拱墅,桥西
"
雅戈尔御西湖
",85220,38,西湖,文教
"
文二路37号
",84716,1,西湖,学军
